,g-city,g-rent,g-surf,g-rooms,t-city,t-max-rent,t-surf-min,t-rooms
316,Berlin,1300 €,111 m²,4,Berlin,950 €,80 m²,3
317,Berlin,383 €,58 m²,2,Berlin,900 €,65 m²,"2,5"
318,Berlin,420 €,50 m²,2,Berlin,900 €,1 m²,"2,5"
319,Berlin,650 €,54 m²,2,Berlin,1.400 €,50 m²,"2,5"
320,Berlin,700 €,63 m²,2,Berlin,1.450 €,90 m²,3
321,Berlin,750 €,72 m²,2,Berlin,1.700 €,80 m²,3
322,Berlin,750 €,63 m²,"2,5",Köln,900 €,54 m²,"1,5"
323,Berlin,653 €,60 m²,2,Berlin,850 €,70 m²,3
324,Berlin,560 €,65 m²,"2,5",Berlin,1.800 €,55 m²,"2,5"
325,Berlin,300 €,50 m²,"1,5",Berlin,500 €,5 m²,1
326,Berlin,550 €,50 m²,2,Berlin,1.000 €,60 m²,2
327,Berlin,580 €,58 m²,2,Berlin,1.800 €,90 m²,4
328,Berlin,411 €,55 m²,2,Berlin,1.400 €,63 m²,1
329,Berlin,1230 €,94 m²,4,Berlin,1.250 €,78 m²,"2,5"
330,Berlin,480 €,77 m²,2,Berlin,2.000 €,90 m²,1
331,Berlin,602 €,62 m²,2,Berlin,1.500 €,85 m²,3
332,Berlin,370 €,43 m²,"1,5",Berlin,1.000 €,60 m²,"2,5"
333,Berlin,733 €,73 m²,2,Berlin,1.350 €,75 m²,2
334,Berlin,397 €,55 m²,2,Berlin,1.200 €,75 m²,3
335,Berlin,490 €,45 m²,"1,5",Berlin,1.000 €,60 m²,2
336,Berlin,270 €,53 m²,2,Berlin,1.500 €,70 m²,3
337,Berlin,520 €,67 m²,"2,5",Berlin,1.000 €,90 m²,"3,5"
338,Berlin,680 €,69 m²,2,Berlin,450 €,40 m²,"1,5"
339,Berlin,400 €,35 m²,1,Berlin,650 €,30 m²,1
340,Berlin,750 €,78 m²,2,Berlin,1.300 €,100 m²,"3,5"
341,Berlin,513 €,84 m²,"3,5",Berlin,1.600 €,80 m²,4
342,Berlin,825 €,70 m²,2,Berlin,700 €,50 m²,2
343,Berlin,460 €,62 m²,2,Berlin,1.200 €,70 m²,2
344,Berlin,560 €,93 m²,3,Berlin,1.200 €,90 m²,4
345,Berlin,610 €,45 m²,2,Berlin,600 €,35 m²,1
346,Berlin,800 €,65 m²,2,Berlin,3.000 €,90 m²,"3,5"
347,Berlin,493 €,83 m²,4,Berlin,400 €,45 m²,2
348,Berlin,450 €,46 m²,1,Berlin,1.000 €,40 m²,"1,5"
349,Berlin,1207 €,80 m²,3,Berlin,900 €,60 m²,"2,5"
350,Berlin,479 €,73 m²,2,Berlin,900 €,75 m²,4
351,Berlin,634 €,70 m²,2,Berlin,1.300 €,90 m²,3
352,Berlin,566 €,72 m²,3,Berlin,1.200 €,75 m²,"3,5"
353,Berlin,354 €,42 m²,"1,5",Berlin,600 €,40 m²,1
354,Berlin,700 €,60 m²,2,Berlin,500 €,30 m²,1
355,Berlin,345 €,36 m²,1,Berlin,1.500 €,50 m²,2
356,Berlin,785 €,72 m²,3,Berlin,650 €,60 m²,2
357,Berlin,670 €,34 m²,1,Berlin,1.200 €,50 m²,2
358,Berlin,685 €,95 m²,"2,5",Berlin,1.000 €,70 m²,"2,5"
359,Berlin,818 €,74 m²,2,Berlin,1.300 €,30 m²,2
360,Berlin,2000 €,115 m²,"3,5",Berlin,2.000 €,80 m²,1
361,Berlin,750 €,42 m²,2,Berlin,1.000 €,60 m²,2
362,Berlin,800 €,65 m²,2,Berlin,1.000 €,70 m²,3
363,Berlin,496 €,82 m²,"2,5",Berlin,1.300 €,110 m²,4
364,Berlin,840 €,94 m²,3,Berlin,1.400 €,100 m²,4
